UNK	Unknown
SMO Malta	Sov Mil Order of Malta
Spratly	Spratly Islands
Monaco	Monaco
Aga&SBran	Agalega & St. Brandon
Mauritius	Mauritius
Rodriguez	Rodriguez Island
EqGuinea	Equatorial Guinea
Annobon	Annobon Island
Fiji	Fiji
Conway	Conway Reef
Rotuma	Rotuma Island
Eswatini	Kingdom of Eswatini
Tunisia	Tunisia
Vietnam	Vietnam
Guinea	Guinea
Bouvet	Bouvet
Peter1	Peter 1 Island
Azerb	Azerbaijan
Georgia	Georgia
Montenegro	Montenegro
SriLanka	Sri Lanka
ITUHQ	ITU HQ
UNHQ	United Nations HQ
TimorL	Timor - Leste
Israel	Israel
Libya	Libya
Cyprus	Cyprus
Tanzania	Tanzania
Nigeria	Nigeria
Madagascar	Madagascar
Mauritan	Mauritania
Niger	Niger
Togo	Togo
Samoa	Samoa
Uganda	Uganda
Kenya	Kenya
Senegal	Senegal
Jamaica	Jamaica
Yemen	Yemen
Lesotho	Lesotho
Malawi	Malawi
Algeria	Algeria
Barbados	Barbados
Maldives	Maldives
Guyana	Guyana
Croatia	Croatia
Ghana	Ghana
Malta	Malta
Zambia	Zambia
Kuwait	Kuwait
SierraLe	Sierra Leone
W.Malaya	West Malaysia
E.Malaya	East Malaysia
Nepal	Nepal
DRCongo	Dem. Rep. of the Congo
Burundi	Burundi
Singapore	Singapore
Rwanda	Rwanda
Trin&Tob	Trinidad & Tobago
Botswana	Botswana
Tonga	Tonga
Oman	Oman
Bhutan	Bhutan
UAE	United Arab Emirates
Qatar	Qatar
Bahrain	Bahrain
Pakistan	Pakistan
Scarbr	Scarborough Reef
Taiwan	Taiwan
Pratas	Pratas Island
China	China
Nauru	Nauru
Andorra	Andorra
Gambia	The Gambia
Bahamas	Bahamas
Mozamb	Mozambique
Chile	Chile
SFlx&Amb	San Felix & San Ambrosio
Easter	Easter Island
JuanFnd	Juan Fernandez Islands
Antarct	Antarctica
Cuba	Cuba
Morocco	Morocco
Bolivia	Bolivia
Portugal	Portugal
Madeira	Madeira Islands
Azores	Azores
Uruguay	Uruguay
Sable	Sable Island
SPaul	St. Paul Island
Angola	Angola
